datas,
1/6,
1/5,
0/7,
0/5,
0/5,
0/5,
0/5,
0/11,
0/11,
0/10,
0/11,
0/12,
0/8,
0/7,
0/8,
1/13,
0/10,
1/14,
0/8,
0/13,
3/12,
0/13,
0/10,
0/9,
0/12,
0/9,
0/10,
0/13,
0/11,
0/12,
0/10,
1/11,
0/11,
0/11,
1/10,
0/11,
0/10,
0/11,
0/13,
0/7,
0/6,
0/5,
0/8,
1/11,
2/11,
3/8,
0/7,
1/9,
0/5,
1/9,
0/8,
0/7,
1/10,
1/7,
1/9,
0/9,
1/9,
1/10,
2/12,
1/10,
0/6,
1/9,
1/4,
3/10,
1/6,
2/7,
2/12,
1/12,
0/6,
3/16,
3/13,
0/5,
1/12,
1/14,
0/7,
0/5,
0/5,
2/14,
1/11,
0/4
