datas,
0/5,
3/10,
1/10,
0/6,
1/7,
1/4,
0/4,
0/18,
1/15,
0/9,
2/8,
0/10,
0/10,
0/7,
1/11,
0/9,
0/17,
1/8,
2/11,
5/19,
2/5,
3/8,
4/9,
0/9,
1/8,
3/10,
0/7,
0/8,
0/10,
2/9,
0/9,
1/11,
2/12,
3/7,
2/7,
0/9,
2/8,
0/11,
2/9,
4/9,
2/11,
0/12,
0/13,
0/10,
0/9,
0/13,
0/12,
0/11,
0/13,
0/9,
0/12,
0/10,
1/11,
0/10,
0/11,
1/14,
1/7,
1/10,
0/9,
0/7,
0/9,
1/8,
2/6,
2/10,
2/8,
1/10,
1/6,
0/7,
2/8,
1/8,
1/9,
0/9,
3/12,
1/6,
1/7,
1/9,
2/7,
1/8,
1/7,
2/10,
0/7,
0/8,
1/7
